# curie_map:
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   mit-ai-risk-repository: https://airisk.mit.edu/
#   mit-draft-ai-risk-mitigation: https://airisk.mit.edu/blog/mapping-ai-risk-mitigations
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   nexus: https://w3id.org/ai-atlas-nexus/
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-02-23'
# mapping_set_description: Mapping from Draft AI Risk Mitigation Taxonomy to a set of controls
# mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/mit-ai-risk-repository_ibm-risk-atlas.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
nexus:A0086_Future_of_Life_Institute2024	AI Safety Team	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0089_Future_of_Life_Institute2024	Board of directors	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0091_Future_of_Life_Institute2024	BOD formal risk committee	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0092_Future_of_Life_Institute2024	BOD regular crisis training	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0096_Future_of_Life_Institute2024	Chief Information Security Officer (CISO)	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0099_Future_of_Life_Institute2024	Company structure	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0123_Future_of_Life_Institute2024	Internal review of high-stakes deployment decisions	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0129_Future_of_Life_Institute2024	Multi-party authorisation for LLM deployment system changes	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0133_Future_of_Life_Institute2024	Partnerships	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0136_Future_of_Life_Institute2024	Powers of the BOD	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0164_Future_of_Life_Institute2024	Chief Risk Officer (CRO)	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0176_Schuett2023	Board risk committee	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0179_Schuett2023	Dual control	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
nexus:A0217_Schuett2023	Chief risk officer	nexus:isCategorizedAs	mit-draft-ai-risk-mitigation:mit-draft-ai-risk-mitigation-group-1.1	Board Structure & Oversight	semapv:ManualMappingCuration	airisk@mit.edu	2026-02-23
